T28,Patents,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
156,China,2005,Grants of patents (number),"53,305","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
156,China,2010,Grants of patents (number),"135,110","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
156,China,2017,Grants of patents (number),"420,144","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
156,China,2018,Grants of patents (number),"432,147","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
156,China,2019,Grants of patents (number),"452,804","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
156,China,2005,Patents in force (number),"182,396","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
156,China,2010,Patents in force (number),"564,760","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
156,China,2017,Patents in force (number),"2,085,367","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
156,China,2018,Patents in force (number),"2,366,314","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
156,China,2019,Patents in force (number),"2,670,784","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",1985,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",1995,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",2005,Resident patent filings (per million population),23,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",2010,Resident patent filings (per million population),19,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",2017,Resident patent filings (per million population),44,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",2018,Resident patent filings (per million population),42,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",2019,Resident patent filings (per million population),46,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",1985,Grants of patents (number),"1,030",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",1995,Grants of patents (number),"1,960",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",2005,Grants of patents (number),"6,518",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",2010,Grants of patents (number),"5,353",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",2017,Grants of patents (number),"6,671",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",2018,Grants of patents (number),"9,651",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",2019,Grants of patents (number),"6,780",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",2010,Patents in force (number),"33,225",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",2017,Patents in force (number),"45,059",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",2018,Patents in force (number),"49,922",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
344,"China, Hong Kong SAR",2019,Patents in force (number),"51,949",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
446,"China, Macao SAR",2005,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
446,"China, Macao SAR",2010,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
446,"China, Macao SAR",2017,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
446,"China, Macao SAR",2018,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
446,"China, Macao SAR",1995,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
446,"China, Macao SAR",2005,Grants of patents (number),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
446,"China, Macao SAR",2010,Grants of patents (number),156,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
446,"China, Macao SAR",2017,Grants of patents (number),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
446,"China, Macao SAR",2018,Grants of patents (number),27,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
446,"China, Macao SAR",2019,Grants of patents (number),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
446,"China, Macao SAR",2005,Patents in force (number),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
446,"China, Macao SAR",2010,Patents in force (number),377,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
446,"China, Macao SAR",2017,Patents in force (number),416,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
446,"China, Macao SAR",2018,Patents in force (number),387,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
446,"China, Macao SAR",2019,Patents in force (number),366,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,1985,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,1995,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,2005,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,2010,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,2017,Resident patent filings (per million population),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,2018,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,2019,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,1985,Grants of patents (number),169,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,1995,Grants of patents (number),365,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,2005,Grants of patents (number),256,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,2010,Grants of patents (number),639,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,2017,Grants of patents (number),"1,164",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,2018,Grants of patents (number),"1,271",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,2019,Grants of patents (number),"1,630",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,2017,Patents in force (number),"7,024",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,2018,Patents in force (number),"7,403",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
170,Colombia,2019,Patents in force (number),"8,211",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
178,Congo,2005,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
178,Congo,2019,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
178,Congo,1995,Grants of patents (number),15,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
188,Costa Rica,1985,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
188,Costa Rica,1995,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
188,Costa Rica,2005,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
188,Costa Rica,2010,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
188,Costa Rica,2017,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
188,Costa Rica,2018,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
188,Costa Rica,2019,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
188,Costa Rica,1985,Grants of patents (number),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
188,Costa Rica,1995,Grants of patents (number),25,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
188,Costa Rica,2005,Grants of patents (number),13,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
188,Costa Rica,2010,Grants of patents (number),34,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
188,Costa Rica,2017,Grants of patents (number),189,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
188,Costa Rica,2018,Grants of patents (number),166,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
188,Costa Rica,2019,Grants of patents (number),191,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
188,Costa Rica,2019,Patents in force (number),"1,068",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
384,Côte d’Ivoire,2017,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
384,Côte d’Ivoire,2018,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
384,Côte d’Ivoire,2019,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,1995,Resident patent filings (per million population),57,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,2005,Resident patent filings (per million population),84,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,2010,Resident patent filings (per million population),64,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,2017,Resident patent filings (per million population),38,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,2018,Resident patent filings (per million population),33,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,2019,Resident patent filings (per million population),53,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,1995,Grants of patents (number),25,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,2005,Grants of patents (number),140,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,2010,Grants of patents (number),82,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,2017,Grants of patents (number),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,2018,Grants of patents (number),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,2019,Grants of patents (number),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,2005,Patents in force (number),"1,094",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,2010,Patents in force (number),"2,134",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,2017,Patents in force (number),"7,845",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,2018,Patents in force (number),"8,945",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
191,Croatia,2019,Patents in force (number),"10,059",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
192,Cuba,1995,Resident patent filings (per million population),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
192,Cuba,2005,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
192,Cuba,2017,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
192,Cuba,2018,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
192,Cuba,2019,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
192,Cuba,1985,Grants of patents (number),18,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
192,Cuba,1995,Grants of patents (number),77,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
192,Cuba,2005,Grants of patents (number),64,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
192,Cuba,2017,Grants of patents (number),74,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
192,Cuba,2018,Grants of patents (number),93,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
192,Cuba,2019,Grants of patents (number),89,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
192,Cuba,2005,Patents in force (number),653,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
192,Cuba,2017,Patents in force (number),816,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
192,Cuba,2018,Patents in force (number),727,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
192,Cuba,2019,Patents in force (number),648,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
196,Cyprus,2005,Resident patent filings (per million population),54,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
196,Cyprus,2010,Resident patent filings (per million population),35,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
196,Cyprus,2017,Resident patent filings (per million population),51,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
196,Cyprus,2018,Resident patent filings (per million population),46,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
196,Cyprus,2019,Resident patent filings (per million population),43,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
196,Cyprus,1985,Grants of patents (number),43,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
196,Cyprus,2005,Grants of patents (number),68,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
196,Cyprus,2010,Grants of patents (number),19,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
196,Cyprus,2019,Grants of patents (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
196,Cyprus,2010,Patents in force (number),333,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
196,Cyprus,2017,Patents in force (number),37,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
196,Cyprus,2018,Patents in force (number),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
196,Cyprus,2019,Patents in force (number),16,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,1995,Resident patent filings (per million population),61,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,2005,Resident patent filings (per million population),65,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,2010,Resident patent filings (per million population),99,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,2017,Resident patent filings (per million population),94,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,2018,Resident patent filings (per million population),87,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,2019,Resident patent filings (per million population),90,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,1995,Grants of patents (number),"1,299",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,2005,Grants of patents (number),"1,551",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,2010,Grants of patents (number),911,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,2017,Grants of patents (number),669,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,2018,Grants of patents (number),512,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,2019,Grants of patents (number),509,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,2005,Patents in force (number),"10,165",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,2010,Patents in force (number),"23,415",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,2017,Patents in force (number),"41,606",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,2018,Patents in force (number),"45,016",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
203,Czechia,2019,Patents in force (number),"48,391",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
408,Dem. People's Rep. Korea,2005,Resident patent filings (per million population),245,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
408,Dem. People's Rep. Korea,2010,Resident patent filings (per million population),327,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
408,Dem. People's Rep. Korea,2005,Grants of patents (number),"3,583",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
408,Dem. People's Rep. Korea,2010,Grants of patents (number),"6,290",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,1985,Resident patent filings (per million population),167,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,1995,Resident patent filings (per million population),236,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,2005,Resident patent filings (per million population),523,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,2010,Resident patent filings (per million population),625,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,2017,Resident patent filings (per million population),626,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,2018,Resident patent filings (per million population),630,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,2019,Resident patent filings (per million population),645,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,1985,Grants of patents (number),"1,054",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,1995,Grants of patents (number),"1,120",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,2005,Grants of patents (number),389,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,2010,Grants of patents (number),155,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,2017,Grants of patents (number),419,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,2018,Grants of patents (number),322,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,2019,Grants of patents (number),501,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,2005,Patents in force (number),"56,978",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,2010,Patents in force (number),"47,732",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,2017,Patents in force (number),"58,494",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,2018,Patents in force (number),"62,408",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
208,Denmark,2019,Patents in force (number),"65,967",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
214,Dominican Republic,2005,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
214,Dominican Republic,2010,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
214,Dominican Republic,2017,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
214,Dominican Republic,2018,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
214,Dominican Republic,2019,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
214,Dominican Republic,2010,Grants of patents (number),91,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
214,Dominican Republic,2017,Grants of patents (number),127,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
214,Dominican Republic,2018,Grants of patents (number),95,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
214,Dominican Republic,2019,Grants of patents (number),158,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
214,Dominican Republic,2017,Patents in force (number),282,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
214,Dominican Republic,2018,Patents in force (number),635,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
214,Dominican Republic,2019,Patents in force (number),758,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,1995,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,2005,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,2017,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,2018,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,2019,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,1995,Grants of patents (number),90,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,2005,Grants of patents (number),38,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,2010,Grants of patents (number),28,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,2017,Grants of patents (number),17,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,2018,Grants of patents (number),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,2019,Grants of patents (number),17,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,2005,Patents in force (number),38,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,2010,Patents in force (number),199,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,2017,Patents in force (number),63,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,2018,Patents in force (number),65,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
218,Ecuador,2019,Patents in force (number),71,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
818,Egypt,1985,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
818,Egypt,1995,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed July 2021."
