Country Name,Country Code,Percent_Energy
阿拉伯叙利亚共和国,SYR,47.83373500266329
东亚与太平洋地区 (IBRD与IDA),TEA,7.974699377838891
欧洲与中亚地区 (IBRD与IDA),TEC,55.52708265300989
多哥,TGO,23.98470871737289
泰国,THA,42.473182982131824
塔吉克斯坦,TJK,36.245495576600064
土库曼斯坦,TKM,-108.27112297791545
拉丁美洲与加勒比海地区 (IBRD与IDA),TLA,6.611815932493566
中东与北非地区 (IBRD与IDA),TMN,-54.772274381730234
南亚 (IBRD与IDA),TSA,32.69210781932501
撒哈拉以南非洲地区 (IBRD与IDA),TSS,-48.127370295376636
特立尼达和多巴哥,TTO,-102.6627373304638
突尼斯,TUN,36.19587141611359
土耳其,TUR,75.2078800411834
坦桑尼亚,TZA,11.287573408441045
乌克兰,UKR,40.406057875987415
中高等收入国家,UMC,28.00817540414526
乌拉圭,URY,59.7019820779526
美国,USA,22.209200898212714
乌兹别克斯坦,UZB,-17.49611633110655
委内瑞拉玻利瓦尔共和国,VEN,-166.05223799363398
越南,VNM,-12.690358518051587
世界,WLD,20.969042498325916
科索沃,XKX,28.989955489590763
也门共和国,YEM,-120.62967397686238
南非,ZAF,-14.483553291849043
赞比亚,ZMB,8.292942909535613
津巴布韦,ZWE,15.309013006354505
