Value,country
0.5438461538461539,AFG
1.0980952380952382,ALB
1.10125,DZA
0.785,AGO
1.0842857142857143,AIA
1.0544444444444445,ATG
1.142,ARG
1.091764705882353,ARM
1.162857142857143,ABW
1.0450000000000002,AUS
1.006875,AUT
1.033125,AZE
1.105,BHS
1.1726315789473685,BHR
0.9800000000000001,BGD
1.0453846153846154,BRB
1.0686666666666667,BLR
1.1027777777777779,BEL
1.1135,BLZ
0.6592307692307693,BEN
1.2269999999999999,BMU
0.9485714285714286,BTN
0.9838461538461538,BOL
1.33,BIH
1.066,BWA
1.0891666666666666,BRA
1.0863636363636362,VGB
1.131578947368421,BRN
1.0627777777777778,BGR
0.7535000000000001,BFA
0.8233333333333334,BDI
1.1053333333333335,CPV
0.8135714285714286,KHM
0.834,CMR
1.0688235294117647,CAN
0.9675,CYM
0.605,CAF
0.5017647058823529,TCD
1.009375,CHL
1.0328571428571427,CHN
1.03,HKG
1.0205555555555557,MAC
1.0552380952380953,COL
0.966,COM
0.874,COG
1.01375,COK
1.0661111111111112,CRI
1.0861111111111112,HRV
1.108,CUB
1.04,CYP
1.073888888888889,CZE
0.7378571428571429,C魌e d扞voire
0.7675000000000001,PRK
0.76,COD
1.0911111111111111,DNK
0.8957142857142857,DJI
1.028888888888889,DMA
1.08,DOM
1.0353846153846153,ECU
0.96375,EGY
1.0164705882352942,SLV
0.9225,GNQ
0.7326666666666667,ERI
1.1144444444444443,EST
0.944,SWZ
0.6790909090909091,ETH
1.025,FJI
1.0822222222222222,FIN
1.0633333333333335,FRA
1.005,GUF
0.96,PYF
0.9199999999999999,GAB
0.9027272727272727,GMB
1.0595,GEO
0.97,DEU
0.8811764705882353,GHA
0.985,GIB
0.9964705882352942,GRC
1.0257142857142856,GRD
1.09,GLP
0.9635714285714286,GTM
0.5233333333333333,GIN
0.75,GNB
1.125,GUY
0.95,HTI
1.1286666666666667,HND
1.07,HUN
1.1416666666666666,ISL
0.9415789473684211,IND
0.98,IDN
0.9592857142857143,IRN
0.6,IRQ
1.0516666666666667,IRL
1.0966666666666667,ISR
1.0750000000000002,ITA
1.1455555555555557,JAM
1.0476470588235294,JOR
1.0777777777777777,KAZ
0.8457142857142858,KEN
1.0866666666666667,KIR
1.189375,KWT
1.073,KGZ
0.8766666666666667,LAO
1.106470588235294,LVA
1.1942857142857142,LSO
0.7975,LBR
1.0899999999999999,LBY
0.778,LIE
1.093888888888889,LTU
1.0386666666666666,LUX
0.9676470588235294,MDG
0.8564705882352941,MWI
1.1055555555555554,MYS
1.072,MDV
0.6839999999999999,MLI
1.068095238095238,MLT
1.0671428571428572,MHL
1.02,MTQ
0.7880952380952382,MRT
1.0588888888888888,MUS
1.0061111111111112,MEX
0.9975,FSM
1.128125,MNG
1.0823529411764705,MNE
1.149,MSR
0.8995,MAR
0.7655555555555557,MOZ
1.0618181818181818,MMR
1.1416666666666666,NAM
1.0,NRU
0.9222222222222223,NPL
1.0227777777777778,NLD
1.086875,NZL
1.0599999999999998,NIC
0.646875,NER
0.83125,NGA
1.075,NIU
1.0616666666666665,MKD
1.0955555555555554,NOR
1.1273684210526316,OMN
0.8406666666666667,PAK
1.1118181818181818,PAN
0.7175,PNG
1.0675,PRY
0.986875,PER
1.0833333333333333,PHL
1.1052941176470588,POL
1.051111111111111,PRT
1.14,PRI
1.3352941176470587,QAT
0.9066666666666667,KOR
1.0809523809523809,MDA
1.0572222222222223,ROU
1.0507692307692307,RUS
0.9694117647058824,RWA
1.03,R閡nion
0.99,SHN
1.0675,KNA
1.1952941176470588,LCA
1.16,SPM
1.05,VCT
1.1464285714285716,WSM
1.0122222222222221,SMR
1.024,STP
1.011111111111111,SAU
0.8461538461538461,SEN
1.0905555555555555,SRB
1.1583333333333334,SYC
0.9900000000000001,SLE
1.04,SGP
1.7,SXM
1.0922222222222222,SVK
1.106111111111111,SVN
0.94875,SLB
1.0523076923076924,ZAF
0.625,SSD
1.0683333333333334,ESP
1.1286666666666667,LKA
1.1115,PSE
0.9730769230769231,SDN
1.1044444444444443,SUR
1.1372222222222221,SWE
0.9588888888888888,CHE
0.9381818181818182,SYR
0.8218181818181818,TJK
1.0157142857142858,THA
0.9792307692307692,TLS
0.6626666666666666,TGO
1.01,TKL
1.0050000000000001,TON
0.98,TTO
1.131875,TUN
0.9035714285714286,TUR
0.9266666666666666,TKM
1.0833333333333333,TCA
1.0642857142857143,TUV
0.8742857142857143,UGA
1.0516666666666665,UKR
0.98375,ARE
1.0870588235294119,GBR
0.866111111111111,TZA
0.95,VIR
1.0883333333333334,USA
1.0875000000000001,URY
0.893157894736842,UZB
0.992,VUT
1.0375,VEN
0.9710000000000001,VNM
0.5783333333333333,YEM
0.9800000000000001,ZMB
0.8474999999999999,ZWE
