Country Name,Country Code,Percent_Of_Educate
坦桑尼亚,TZA,24.3965396881104
乌干达,UGA,13.6113700866699
乌克兰,UKR,15.8142499923706
中高等收入国家,UMC,14.623469829559351
乌拉圭,URY,17.6779003143311
圣文森特和格林纳丁斯,VCT,20.1484107971191
越南,VNM,18.7849903106689
世界,WLD,14.6421446800232
南非,ZAF,19.682710647583
赞比亚,ZMB,20.1000003814697
津巴布韦,ZWE,30.0151500701904
