Country Name,Country Code,Female_Labor_Percent
巴布亚新几内亚,PNG,48.88838336074499
波兰,POL,44.91281591567432
預人口紅利,PRE,44.98356281434981
波多黎各,PRI,43.16498469634414
朝鲜民主主义人民共和国,PRK,49.174042000203
葡萄牙,PRT,49.27639641138915
巴拉圭,PRY,41.24497384909208
约旦河西岸和加沙,PSE,20.22688855726319
太平洋岛国,PSS,40.97787728331061
人口紅利之後,PST,45.99702762698637
法属波利尼西亚,PYF,43.496791179858484
卡塔尔,QAT,13.83700228247935
罗马尼亚,ROU,44.2667779937992
俄罗斯联邦,RUS,48.804891255510775
卢旺达,RWA,51.83177753591251
南亚,SAS,24.142777502127394
沙特阿拉伯,SAU,20.87634116719675
苏丹,SDN,30.441265284180403
塞内加尔,SEN,40.19755978415115
新加坡,SGP,41.810944059026575
所罗门群岛,SLB,48.77964604725555
塞拉利昂,SLE,50.54497295935698
萨尔瓦多,SLV,42.74541873769108
索马里,SOM,31.350255068092093
塞尔维亚,SRB,44.37497800998529
撒哈拉以南非洲地区（不包括高收入）,SSA,46.58871452337795
南苏丹,SSD,49.53565678239799
撒哈拉以南非洲地区,SSF,46.58871452337795
小国,SST,39.28391886165399
圣多美和普林西比,STP,35.34729813572843
苏里南,SUR,40.786572126475775
斯洛伐克共和国,SVK,45.552406577500356
斯洛文尼亚,SVN,46.567762958118244
瑞典,SWE,47.70300778696979
斯威士兰,SWZ,49.549250678711
阿拉伯叙利亚共和国,SYR,18.628952091727875
乍得,TCD,42.249035103092154
东亚与太平洋地区 (IBRD与IDA),TEA,43.98334135176861
欧洲与中亚地区 (IBRD与IDA),TEC,44.83509100158748
多哥,TGO,48.916834838640035
泰国,THA,46.40791071579731
塔吉克斯坦,TJK,38.2491503524385
土库曼斯坦,TKM,41.68738381343338
拉丁美洲与加勒比海地区 (IBRD与IDA),TLA,41.90473193850214
东帝汶,TLS,45.59545288381033
中东与北非地区 (IBRD与IDA),TMN,21.37520837179649
汤加,TON,41.608020823291234
南亚 (IBRD与IDA),TSA,24.142777502127394
撒哈拉以南非洲地区 (IBRD与IDA),TSS,46.58871452337795
特立尼达和多巴哥,TTO,42.6992106253896
突尼斯,TUN,28.876950452527932
土耳其,TUR,33.36064930933729
坦桑尼亚,TZA,49.17653440129466
乌干达,UGA,49.47158382620785
乌克兰,UKR,50.414452588083215
中高等收入国家,UMC,43.810643613562355
乌拉圭,URY,46.51075238217201
美国,USA,46.29959035472655
乌兹别克斯坦,UZB,40.99912117062956
圣文森特和格林纳丁斯,VCT,41.32447954055994
委内瑞拉玻利瓦尔共和国,VEN,40.224579755311076
美属维京群岛,VIR,48.30628222264655
越南,VNM,48.007113560375686
瓦努阿图,VUT,43.66091015394725
世界,WLD,39.45969484949081
萨摩亚,WSM,35.04285374176653
也门共和国,YEM,12.941400960260289
南非,ZAF,44.918506531087154
赞比亚,ZMB,48.35385153222072
津巴布韦,ZWE,51.62780735846728
