Country Name,Country Code,GNI
塞内加尔,SEN,3420.0
新加坡,SGP,90320.0
所罗门群岛,SLB,2740.0
塞拉利昂,SLE,1750.0
萨尔瓦多,SLV,8690.0
塞尔维亚,SRB,18530.0
撒哈拉以南非洲地区（不包括高收入）,SSA,3915.426889410693
撒哈拉以南非洲地区,SSF,3917.5243857980718
小国,SST,21473.29282768092
圣多美和普林西比,STP,4250.0
苏里南,SUR,17790.0
斯洛伐克共和国,SVK,31410.0
斯洛文尼亚,SVN,40060.0
瑞典,SWE,56740.0
斯威士兰,SWZ,8470.0
圣马丁(荷属),SXM,38380.0
塞舌尔,SYC,27700.0
乍得,TCD,1760.0
东亚与太平洋地区 (IBRD与IDA),TEA,15194.884376390739
欧洲与中亚地区 (IBRD与IDA),TEC,23509.22299953307
多哥,TGO,2230.0
泰国,THA,18530.0
塔吉克斯坦,TJK,4500.0
土库曼斯坦,TKM,15600.0
拉丁美洲与加勒比海地区 (IBRD与IDA),TLA,16007.767268511758
东帝汶,TLS,9050.0
中东与北非地区 (IBRD与IDA),TMN,11313.406667616528
汤加,TON,7260.0
南亚 (IBRD与IDA),TSA,6462.295051938572
撒哈拉以南非洲地区 (IBRD与IDA),TSS,3917.5243857980713
特立尼达和多巴哥,TTO,29040.0
突尼斯,TUN,11410.0
土耳其,TUR,27550.0
图瓦卢,TUV,6430.0
坦桑尼亚,TZA,2810.0
乌干达,UGA,2260.0
乌克兰,UKR,13510.0
中高等收入国家,UMC,17832.945231456968
乌拉圭,URY,22850.0
美国,USA,66120.0
乌兹别克斯坦,UZB,7750.0
圣文森特和格林纳丁斯,VCT,12910.0
委内瑞拉玻利瓦尔共和国,VEN,17090.0
越南,VNM,8150.0
瓦努阿图,VUT,3530.0
世界,WLD,17460.96908685357
萨摩亚,WSM,6620.0
科索沃,XKX,12070.0
也门共和国,YEM,3920.0
南非,ZAF,13930.0
赞比亚,ZMB,3550.0
津巴布韦,ZWE,3950.0
